Pokemon,Type,Species,Height,Weight,Abilities,Catch Rate,Base Exp,Growth Rate,Gender,HP Base,Attack Base,Defense Base,Special Attack Base,Special Defense Base,Speed Base
Cacnea,Grass,Cactus Pokémon,0.4 m (1′04″),51.3 kg (113.1 lbs),"1. Sand Veil, Water Absorb (hidden ability)","190 (24.8% with PokéBall, full HP)",67,Medium Slow,"50% male, 50% female",50,85,40,85,40,35
Cacturne,"Grass, Dark",Scarecrow Pokémon,1.3 m (4′03″),77.4 kg (170.6 lbs),"1. Sand Veil, Water Absorb (hidden ability)","60 (7.8% with PokéBall, full HP)",166,Medium Slow,"50% male, 50% female",70,115,60,115,60,55
Calyrex,"Psychic, Grass",King Pokémon,1.1 m (3′07″),7.7 kg (17.0 lbs),1. Unnerve,"3 (0.4% with PokéBall, full HP)",250,Slow,Genderless,100,80,80,80,80,80
Calyrex Ice Rider,"Psychic, Ice",High King Pokémon,2.4 m (7′10″),809.1 kg (1783.8 lbs),1. As One,"3 (0.4% with PokéBall, full HP)",340,Slow,Genderless,100,165,150,85,130,50
Calyrex Shadow Rider,"Psychic, Ghost",High King Pokémon,2.4 m (7′10″),53.6 kg (118.2 lbs),1. As One,"3 (0.4% with PokéBall, full HP)",340,Slow,Genderless,100,85,80,165,100,150
Camerupt,"Fire, Ground",Eruption Pokémon,1.9 m (6′03″),220.0 kg (485.0 lbs),"1. Magma Armor, 2. Solid Rock, Anger Point (hidden ability)","150 (19.6% with PokéBall, full HP)",161,Medium Fast,"50% male, 50% female",70,100,70,105,75,40
Capsakid,Grass,Spicy Pepper Pokémon,0.3 m (1′00″),3.0 kg (6.6 lbs),"1. Chlorophyll, 2. Insomnia, Klutz (hidden ability)","190 (24.8% with PokéBall, full HP)",61,Medium Fast,"50% male, 50% female",50,62,40,62,40,50
Carbink,"Rock, Fairy",Jewel Pokémon,0.3 m (1′00″),5.7 kg (12.6 lbs),"1. Clear Body, Sturdy (hidden ability)","60 (7.8% with PokéBall, full HP)",100,Slow,Genderless,50,50,150,50,150,50
Carkol,"Rock, Fire",Coal Pokémon,1.1 m (3′07″),78.0 kg (172.0 lbs),"1. Steam Engine, 2. Flame Body, Flash Fire (hidden ability)","120 (15.7% with PokéBall, full HP)",144,Medium Slow,"50% male, 50% female",80,60,90,60,70,50
Carnivine,Grass,Bug Catcher Pokémon,1.4 m (4′07″),27.0 kg (59.5 lbs),1. Levitate,"200 (26.1% with PokéBall, full HP)",159,Slow,"50% male, 50% female",74,100,72,90,72,46
Carracosta,"Water, Rock",Prototurtle Pokémon,1.2 m (3′11″),81.0 kg (178.6 lbs),"1. Solid Rock, 2. Sturdy, Swift Swim (hidden ability)","45 (5.9% with PokéBall, full HP)",173,Medium Fast,"87.5% male, 12.5% female",74,108,133,83,65,32
Carvanha,"Water, Dark",Savage Pokémon,0.8 m (2′07″),20.8 kg (45.9 lbs),"1. Rough Skin, Speed Boost (hidden ability)","225 (29.4% with PokéBall, full HP)",61,Slow,"50% male, 50% female",45,90,20,65,20,65
Cascoon,Bug,Cocoon Pokémon,0.7 m (2′04″),11.5 kg (25.4 lbs),1. Shed Skin,"120 (15.7% with PokéBall, full HP)",72,Medium Fast,"50% male, 50% female",50,35,55,25,25,15
Castform,Normal,Weather Pokémon,0.3 m (1′00″),0.8 kg (1.8 lbs),1. Forecast,"45 (5.9% with PokéBall, full HP)",147,Medium Fast,"50% male, 50% female",70,70,70,70,70,70
Castform Sunny Form,Fire,Weather Pokémon,0.3 m (1′00″),0.8 kg (1.8 lbs),1. Forecast,"45 (5.9% with PokéBall, full HP)",147,Medium Fast,"50% male, 50% female",70,70,70,70,70,70
Castform Rainy Form,Water,Weather Pokémon,0.3 m (1′00″),0.8 kg (1.8 lbs),1. Forecast,"45 (5.9% with PokéBall, full HP)",147,Medium Fast,"50% male, 50% female",70,70,70,70,70,70
Castform Snowy Form,Ice,Weather Pokémon,0.3 m (1′00″),0.8 kg (1.8 lbs),1. Forecast,"45 (5.9% with PokéBall, full HP)",147,Medium Fast,"50% male, 50% female",70,70,70,70,70,70
Caterpie,Bug,Worm Pokémon,0.3 m (1′00″),2.9 kg (6.4 lbs),"1. Shield Dust, Run Away (hidden ability)","255 (33.3% with PokéBall, full HP)",39,Medium Fast,"50% male, 50% female",45,30,35,20,20,45
Celebi,"Psychic, Grass",Time Travel Pokémon,0.6 m (2′00″),5.0 kg (11.0 lbs),1. Natural Cure,"45 (5.9% with PokéBall, full HP)",270,Medium Slow,Genderless,100,100,100,100,100,100
Celesteela,"Steel, Flying",Launch Pokémon,9.2 m (30′02″),999.9 kg (2204.4 lbs),1. Beast Boost,"45 (5.9% with PokéBall, full HP)",257,Slow,Genderless,97,101,103,107,101,61
Centiskorch,"Fire, Bug",Radiator Pokémon,3.0 m (9′10″),120.0 kg (264.6 lbs),"1. Flash Fire, 2. White Smoke, Flame Body (hidden ability)","75 (9.8% with PokéBall, full HP)",184,Medium Fast,"50% male, 50% female",100,115,65,90,90,65
Ceruledge,"Fire, Ghost",Fire Blades Pokémon,1.6 m (5′03″),62.0 kg (136.7 lbs),"1. Flash Fire, Weak Armor (hidden ability)","25 (3.3% with PokéBall, full HP)",263,Slow,"50% male, 50% female",75,125,80,60,100,85
Cetitan,Ice,Terra Whale Pokémon,4.5 m (14′09″),700.0 kg (1543.2 lbs),"1. Thick Fat, 2. Slush Rush, Sheer Force (hidden ability)","50 (6.5% with PokéBall, full HP)",182,Medium Slow,"50% male, 50% female",170,113,65,45,55,73
Cetoddle,Ice,Terra Whale Pokémon,1.2 m (3′11″),45.0 kg (99.2 lbs),"1. Thick Fat, 2. Snow Cloak, Sheer Force (hidden ability)","150 (19.6% with PokéBall, full HP)",67,Medium Slow,"50% male, 50% female",108,68,45,30,40,43
Chandelure,"Ghost, Fire",Luring Pokémon,1.0 m (3′03″),34.3 kg (75.6 lbs),"1. Flash Fire, 2. Flame Body, Infiltrator (hidden ability)","45 (5.9% with PokéBall, full HP)",234,Medium Slow,"50% male, 50% female",60,55,90,145,90,80
Chansey,Normal,Egg Pokémon,1.1 m (3′07″),34.6 kg (76.3 lbs),"1. Natural Cure, 2. Serene Grace, Healer (hidden ability)","30 (3.9% with PokéBall, full HP)",395,Fast,"0% male, 100% female",250,5,5,35,105,50
Charcadet,Fire,Fire Child Pokémon,0.6 m (2′00″),10.5 kg (23.1 lbs),"1. Flash Fire, Flame Body (hidden ability)","90 (11.8% with PokéBall, full HP)",51,Slow,"50% male, 50% female",40,50,40,50,40,35
Charizard,"Fire, Flying",Flame Pokémon,1.7 m (5′07″),90.5 kg (199.5 lbs),"1. Blaze, Solar Power (hidden ability)","45 (5.9% with PokéBall, full HP)",267,Medium Slow,"87.5% male, 12.5% female",78,84,78,109,85,100
Charjabug,"Bug, Electric",Battery Pokémon,0.5 m (1′08″),10.5 kg (23.1 lbs),1. Battery,"120 (15.7% with PokéBall, full HP)",140,Medium Fast,"50% male, 50% female",57,82,95,55,75,36
Charmander,Fire,Lizard Pokémon,0.6 m (2′00″),8.5 kg (18.7 lbs),"1. Blaze, Solar Power (hidden ability)","45 (5.9% with PokéBall, full HP)",62,Medium Slow,"87.5% male, 12.5% female",39,52,43,60,50,65
Charmeleon,Fire,Flame Pokémon,1.1 m (3′07″),19.0 kg (41.9 lbs),"1. Blaze, Solar Power (hidden ability)","45 (5.9% with PokéBall, full HP)",142,Medium Slow,"87.5% male, 12.5% female",58,64,58,80,65,80
Chatot,"Normal, Flying",Music Note Pokémon,0.5 m (1′08″),1.9 kg (4.2 lbs),"1. Keen Eye, 2. Tangled Feet, Big Pecks (hidden ability)","30 (3.9% with PokéBall, full HP)",144,Medium Slow,"50% male, 50% female",76,65,45,92,42,91
Cherrim,Grass,Blossom Pokémon,0.5 m (1′08″),9.3 kg (20.5 lbs),1. Flower Gift,"75 (9.8% with PokéBall, full HP)",158,Medium Fast,"50% male, 50% female",70,60,70,87,78,85
Cherubi,Grass,Cherry Pokémon,0.4 m (1′04″),3.3 kg (7.3 lbs),1. Chlorophyll,"190 (24.8% with PokéBall, full HP)",55,Medium Fast,"50% male, 50% female",45,35,45,62,53,35
Chesnaught,"Grass, Fighting",Spiny Armor Pokémon,1.6 m (5′03″),90.0 kg (198.4 lbs),"1. Overgrow, Bulletproof (hidden ability)","45 (5.9% with PokéBall, full HP)",265,Medium Slow,"87.5% male, 12.5% female",88,107,122,74,75,64
Chespin,Grass,Spiny Nut Pokémon,0.4 m (1′04″),9.0 kg (19.8 lbs),"1. Overgrow, Bulletproof (hidden ability)","45 (5.9% with PokéBall, full HP)",63,Medium Slow,"87.5% male, 12.5% female",56,61,65,48,45,38
Chewtle,Water,Snapping Pokémon,0.3 m (1′00″),8.5 kg (18.7 lbs),"1. Strong Jaw, 2. Shell Armor, Swift Swim (hidden ability)","255 (33.3% with PokéBall, full HP)",57,Medium Fast,"50% male, 50% female",50,64,50,38,38,44
Chi-Yu,"Dark, Fire",Ruinous Pokémon,0.4 m (1′04″),4.9 kg (10.8 lbs),1. Beads of Ruin,"6 (0.8% with PokéBall, full HP)",285,Slow,Genderless,55,80,80,135,120,100
Chien-Pao,"Dark, Ice",Ruinous Pokémon,1.9 m (6′03″),152.2 kg (335.5 lbs),1. Sword of Ruin,"6 (0.8% with PokéBall, full HP)",285,Slow,Genderless,80,120,80,90,65,135
Chikorita,Grass,Leaf Pokémon,0.9 m (2′11″),6.4 kg (14.1 lbs),"1. Overgrow, Leaf Guard (hidden ability)","45 (5.9% with PokéBall, full HP)",64,Medium Slow,"87.5% male, 12.5% female",45,49,65,49,65,45
Chimchar,Fire,Chimp Pokémon,0.5 m (1′08″),6.2 kg (13.7 lbs),"1. Blaze, Iron Fist (hidden ability)","45 (5.9% with PokéBall, full HP)",62,Medium Slow,"87.5% male, 12.5% female",44,58,44,58,44,61
Chimecho,Psychic,Wind Chime Pokémon,0.6 m (2′00″),1.0 kg (2.2 lbs),1. Levitate,"45 (5.9% with PokéBall, full HP)",159,Fast,"50% male, 50% female",75,50,80,95,90,65
Chinchou,"Water, Electric",Angler Pokémon,0.5 m (1′08″),12.0 kg (26.5 lbs),"1. Volt Absorb, 2. Illuminate, Water Absorb (hidden ability)","190 (24.8% with PokéBall, full HP)",66,Slow,"50% male, 50% female",75,38,38,56,56,67
Chingling,Psychic,Bell Pokémon,0.2 m (0′08″),0.6 kg (1.3 lbs),1. Levitate,"120 (15.7% with PokéBall, full HP)",57,Fast,"50% male, 50% female",45,30,50,65,50,45
Cinccino,Normal,Scarf Pokémon,0.5 m (1′08″),7.5 kg (16.5 lbs),"1. Cute Charm, 2. Technician, Skill Link (hidden ability)","60 (7.8% with PokéBall, full HP)",165,Fast,"25% male, 75% female",75,95,60,65,60,115
Cinderace,Fire,Striker Pokémon,1.4 m (4′07″),33.0 kg (72.8 lbs),"1. Blaze, Libero (hidden ability)","45 (5.9% with PokéBall, full HP)",265,Medium Slow,"87.5% male, 12.5% female",80,116,75,65,75,119
Clamperl,Water,Bivalve Pokémon,0.4 m (1′04″),52.5 kg (115.7 lbs),"1. Shell Armor, Rattled (hidden ability)","255 (33.3% with PokéBall, full HP)",69,Erratic,"50% male, 50% female",35,64,85,74,55,32
Clauncher,Water,Water Gun Pokémon,0.5 m (1′08″),8.3 kg (18.3 lbs),1. Mega Launcher,"225 (29.4% with PokéBall, full HP)",66,Slow,"50% male, 50% female",50,53,62,58,63,44
Clawitzer,Water,Howitzer Pokémon,1.3 m (4′03″),35.3 kg (77.8 lbs),1. Mega Launcher,"55 (7.2% with PokéBall, full HP)",100,Slow,"50% male, 50% female",71,73,88,120,89,59
Claydol,"Ground, Psychic",Clay Doll Pokémon,1.5 m (4′11″),108.0 kg (238.1 lbs),1. Levitate,"90 (11.8% with PokéBall, full HP)",175,Medium Fast,Genderless,60,70,105,70,120,75
Clefable,Fairy,Fairy Pokémon,1.3 m (4′03″),40.0 kg (88.2 lbs),"1. Cute Charm, 2. Magic Guard, Unaware (hidden ability)","25 (3.3% with PokéBall, full HP)",217,Fast,"25% male, 75% female",95,70,73,95,90,60
Clefairy,Fairy,Fairy Pokémon,0.6 m (2′00″),7.5 kg (16.5 lbs),"1. Cute Charm, 2. Magic Guard, Friend Guard (hidden ability)","150 (19.6% with PokéBall, full HP)",113,Fast,"25% male, 75% female",70,45,48,60,65,35
Cleffa,Fairy,Star Shape Pokémon,0.3 m (1′00″),3.0 kg (6.6 lbs),"1. Cute Charm, 2. Magic Guard, Friend Guard (hidden ability)","150 (19.6% with PokéBall, full HP)",44,Fast,"25% male, 75% female",50,25,28,45,55,15
Clobbopus,Fighting,Tantrum Pokémon,0.6 m (2′00″),4.0 kg (8.8 lbs),"1. Limber, Technician (hidden ability)","180 (23.5% with PokéBall, full HP)",62,Medium Slow,"50% male, 50% female",50,68,60,50,50,32
Clodsire,"Poison, Ground",Spiny Fish Pokémon,1.8 m (5′11″),223.0 kg (491.6 lbs),"1. Poison Point, 2. Water Absorb, Unaware (hidden ability)","90 (11.8% with PokéBall, full HP)",151,Medium Fast,"50% male, 50% female",130,75,60,45,100,20
Cloyster,"Water, Ice",Bivalve Pokémon,1.5 m (4′11″),132.5 kg (292.1 lbs),"1. Shell Armor, 2. Skill Link, Overcoat (hidden ability)","60 (7.8% with PokéBall, full HP)",184,Slow,"50% male, 50% female",50,95,180,85,45,70
Coalossal,"Rock, Fire",Coal Pokémon,2.8 m (9′02″),310.5 kg (684.5 lbs),"1. Steam Engine, 2. Flame Body, Flash Fire (hidden ability)","45 (5.9% with PokéBall, full HP)",255,Medium Slow,"50% male, 50% female",110,80,120,80,90,30
Cobalion,"Steel, Fighting",Iron Will Pokémon,2.1 m (6′11″),250.0 kg (551.2 lbs),1. Justified,"3 (0.4% with PokéBall, full HP)",261,Slow,Genderless,91,90,129,90,72,108
Cofagrigus,Ghost,Coffin Pokémon,1.7 m (5′07″),76.5 kg (168.7 lbs),1. Mummy,"90 (11.8% with PokéBall, full HP)",169,Medium Fast,"50% male, 50% female",58,50,145,95,105,30
Combee,"Bug, Flying",Tiny Bee Pokémon,0.3 m (1′00″),5.5 kg (12.1 lbs),"1. Honey Gather, Hustle (hidden ability)","120 (15.7% with PokéBall, full HP)",49,Medium Slow,"87.5% male, 12.5% female",30,30,42,30,42,70
Combusken,"Fire, Fighting",Young Fowl Pokémon,0.9 m (2′11″),19.5 kg (43.0 lbs),"1. Blaze, Speed Boost (hidden ability)","45 (5.9% with PokéBall, full HP)",142,Medium Slow,"87.5% male, 12.5% female",60,85,60,85,60,55
Comfey,Fairy,Posy Picker Pokémon,0.1 m (0′04″),0.3 kg (0.7 lbs),"1. Flower Veil, 2. Triage, Natural Cure (hidden ability)","60 (7.8% with PokéBall, full HP)",170,Fast,"25% male, 75% female",51,52,90,82,110,100
Conkeldurr,Fighting,Muscular Pokémon,1.4 m (4′07″),87.0 kg (191.8 lbs),"1. Guts, 2. Sheer Force, Iron Fist (hidden ability)","45 (5.9% with PokéBall, full HP)",227,Medium Slow,"75% male, 25% female",105,140,95,55,65,45
Copperajah,Steel,Copperderm Pokémon,3.0 m (9′10″),650.0 kg (1433.0 lbs),"1. Sheer Force, Heavy Metal (hidden ability)","90 (11.8% with PokéBall, full HP)",175,Medium Fast,"50% male, 50% female",122,130,69,80,69,30
Corphish,Water,Ruffian Pokémon,0.6 m (2′00″),11.5 kg (25.4 lbs),"1. Hyper Cutter, 2. Shell Armor, Adaptability (hidden ability)","205 (26.8% with PokéBall, full HP)",62,Fluctuating,"50% male, 50% female",43,80,65,50,35,35
Corsola,"Water, Rock",Coral Pokémon,0.6 m (2′00″),5.0 kg (11.0 lbs),"1. Hustle, 2. Natural Cure, Regenerator (hidden ability)","60 (7.8% with PokéBall, full HP)",144,Fast,"25% male, 75% female",65,55,95,65,95,35
Galarian Corsola,Ghost,Coral Pokémon,0.6 m (2′00″),0.5 kg (1.1 lbs),"1. Weak Armor, Cursed Body (hidden ability)","60 (7.8% with PokéBall, full HP)",144,Fast,"25% male, 75% female",60,55,100,65,100,30
Corviknight,"Flying, Steel",Raven Pokémon,2.2 m (7′03″),75.0 kg (165.3 lbs),"1. Pressure, 2. Unnerve, Mirror Armor (hidden ability)","45 (5.9% with PokéBall, full HP)",248,Medium Slow,"50% male, 50% female",98,87,105,53,85,67
Corvisquire,Flying,Raven Pokémon,0.8 m (2′07″),16.0 kg (35.3 lbs),"1. Keen Eye, 2. Unnerve, Big Pecks (hidden ability)","120 (15.7% with PokéBall, full HP)",128,Medium Slow,"50% male, 50% female",68,67,55,43,55,77
Cosmoem,Psychic,Protostar Pokémon,0.1 m (0′04″),999.9 kg (2204.4 lbs),1. Sturdy,"45 (5.9% with PokéBall, full HP)",140,Slow,Genderless,43,29,131,29,131,37
Cosmog,Psychic,Nebula Pokémon,0.2 m (0′08″),0.1 kg (0.2 lbs),1. Unaware,"45 (5.9% with PokéBall, full HP)",40,Slow,Genderless,43,29,31,29,31,37
Cottonee,"Grass, Fairy",Cotton Puff Pokémon,0.3 m (1′00″),0.6 kg (1.3 lbs),"1. Prankster, 2. Infiltrator, Chlorophyll (hidden ability)","190 (24.8% with PokéBall, full HP)",56,Medium Fast,"50% male, 50% female",40,27,60,37,50,66
Crabominable,"Fighting, Ice",Woolly Crab Pokémon,1.7 m (5′07″),180.0 kg (396.8 lbs),"1. Hyper Cutter, 2. Iron Fist, Anger Point (hidden ability)","60 (7.8% with PokéBall, full HP)",167,Medium Fast,"50% male, 50% female",97,132,77,62,67,43
Crabrawler,Fighting,Boxing Pokémon,0.6 m (2′00″),7.0 kg (15.4 lbs),"1. Hyper Cutter, 2. Iron Fist, Anger Point (hidden ability)","225 (29.4% with PokéBall, full HP)",68,Medium Fast,"50% male, 50% female",47,82,57,42,47,63
Cradily,"Rock, Grass",Barnacle Pokémon,1.5 m (4′11″),60.4 kg (133.2 lbs),"1. Suction Cups, Storm Drain (hidden ability)","45 (5.9% with PokéBall, full HP)",173,Erratic,"87.5% male, 12.5% female",86,81,97,81,107,43
Cramorant,"Flying, Water",Gulp Pokémon,0.8 m (2′07″),18.0 kg (39.7 lbs),1. Gulp Missile,"45 (5.9% with PokéBall, full HP)",166,Medium Fast,"50% male, 50% female",70,85,55,85,95,85
Cranidos,Rock,Head Butt Pokémon,0.9 m (2′11″),31.5 kg (69.4 lbs),"1. Mold Breaker, Sheer Force (hidden ability)","45 (5.9% with PokéBall, full HP)",70,Erratic,"87.5% male, 12.5% female",67,125,40,30,30,58
Crawdaunt,"Water, Dark",Rogue Pokémon,1.1 m (3′07″),32.8 kg (72.3 lbs),"1. Hyper Cutter, 2. Shell Armor, Adaptability (hidden ability)","155 (20.3% with PokéBall, full HP)",164,Fluctuating,"50% male, 50% female",63,120,85,90,55,55
Cresselia,Psychic,Lunar Pokémon,1.5 m (4′11″),85.6 kg (188.7 lbs),1. Levitate,"3 (0.4% with PokéBall, full HP)",290,Slow,"0% male, 100% female",120,70,110,75,120,85
Croagunk,"Poison, Fighting",Toxic Mouth Pokémon,0.7 m (2′04″),23.0 kg (50.7 lbs),"1. Anticipation, 2. Dry Skin, Poison Touch (hidden ability)","140 (18.3% with PokéBall, full HP)",60,Medium Fast,"50% male, 50% female",48,61,40,61,40,50
Crobat,"Poison, Flying",Bat Pokémon,1.8 m (5′11″),75.0 kg (165.3 lbs),"1. Inner Focus, Infiltrator (hidden ability)","90 (11.8% with PokéBall, full HP)",241,Medium Fast,"50% male, 50% female",85,90,80,70,80,130
Crocalor,Fire,Fire Croc Pokémon,1.0 m (3′03″),30.7 kg (67.7 lbs),"1. Blaze, Unaware (hidden ability)","45 (5.9% with PokéBall, full HP)",144,Medium Slow,"87.5% male, 12.5% female",81,55,78,90,58,49
Croconaw,Water,Big Jaw Pokémon,1.1 m (3′07″),25.0 kg (55.1 lbs),"1. Torrent, Sheer Force (hidden ability)","45 (5.9% with PokéBall, full HP)",142,Medium Slow,"87.5% male, 12.5% female",65,80,80,59,63,58
Crustle,"Bug, Rock",Stone Home Pokémon,1.4 m (4′07″),200.0 kg (440.9 lbs),"1. Sturdy, 2. Shell Armor, Weak Armor (hidden ability)","75 (9.8% with PokéBall, full HP)",170,Medium Fast,"50% male, 50% female",70,105,125,65,75,45
Cryogonal,Ice,Crystallizing Pokémon,1.1 m (3′07″),148.0 kg (326.3 lbs),1. Levitate,"25 (3.3% with PokéBall, full HP)",180,Medium Fast,Genderless,80,50,50,95,135,105
Cubchoo,Ice,Chill Pokémon,0.5 m (1′08″),8.5 kg (18.7 lbs),"1. Snow Cloak, 2. Slush Rush, Rattled (hidden ability)","120 (15.7% with PokéBall, full HP)",61,Medium Fast,"50% male, 50% female",55,70,40,60,40,40
Cubone,Ground,Lonely Pokémon,0.4 m (1′04″),6.5 kg (14.3 lbs),"1. Rock Head, 2. Lightning Rod, Battle Armor (hidden ability)","190 (24.8% with PokéBall, full HP)",64,Medium Fast,"50% male, 50% female",50,50,95,40,50,35
Cufant,Steel,Copperderm Pokémon,1.2 m (3′11″),100.0 kg (220.5 lbs),"1. Sheer Force, Heavy Metal (hidden ability)","190 (24.8% with PokéBall, full HP)",66,Medium Fast,"50% male, 50% female",72,80,49,40,49,40
Cursola,Ghost,Coral Pokémon,1.0 m (3′03″),0.4 kg (0.9 lbs),"1. Weak Armor, Perish Body (hidden ability)","30 (3.9% with PokéBall, full HP)",179,Fast,"25% male, 75% female",60,95,50,145,130,30
Cutiefly,"Bug, Fairy",Bee Fly Pokémon,0.1 m (0′04″),0.2 kg (0.4 lbs),"1. Honey Gather, 2. Shield Dust, Sweet Veil (hidden ability)","190 (24.8% with PokéBall, full HP)",61,Medium Fast,"50% male, 50% female",40,45,40,55,40,84
Cyclizar,"Dragon, Normal",Mount Pokémon,1.6 m (5′03″),63.0 kg (138.9 lbs),"1. Shed Skin, Regenerator (hidden ability)","190 (24.8% with PokéBall, full HP)",175,Medium Slow,"50% male, 50% female",70,95,65,85,65,121
Cyndaquil,Fire,Fire Mouse Pokémon,0.5 m (1′08″),7.9 kg (17.4 lbs),"1. Blaze, Flash Fire (hidden ability)","45 (5.9% with PokéBall, full HP)",62,Medium Slow,"87.5% male, 12.5% female",39,52,43,60,50,65
Dachsbun,Fairy,Dog Pokémon,0.5 m (1′08″),14.9 kg (32.8 lbs),"1. Well-Baked Body, Aroma Veil (hidden ability)","90 (11.8% with PokéBall, full HP)",167,Medium Slow,"50% male, 50% female",57,80,115,50,80,95
Darkrai,Dark,Pitch-Black Pokémon,1.5 m (4′11″),50.5 kg (111.3 lbs),1. Bad Dreams,"3 (0.4% with PokéBall, full HP)",270,Slow,Genderless,70,90,90,135,90,125
Darmanitan Standard Mode,Fire,Blazing Pokémon,1.3 m (4′03″),92.9 kg (204.8 lbs),"1. Sheer Force, Zen Mode (hidden ability)","60 (7.8% with PokéBall, full HP)",168,Medium Slow,"50% male, 50% female",105,140,55,30,55,95
Darmanitan Zen Mode,"Fire, Psychic",Blazing Pokémon,1.3 m (4′03″),92.9 kg (204.8 lbs),"1. Sheer Force, Zen Mode (hidden ability)","60 (7.8% with PokéBall, full HP)",189,Medium Slow,"50% male, 50% female",105,30,105,140,105,55
Darmanitan Galarian Standard Mode,Ice,Zen Charm Pokémon,1.7 m (5′07″),120.0 kg (264.6 lbs),"1. Gorilla Tactics, Zen Mode (hidden ability)","60 (7.8% with PokéBall, full HP)",168,Medium Slow,"50% male, 50% female",105,140,55,30,55,95
Darmanitan Galarian Zen Mode,"Ice, Fire",Zen Charm Pokémon,1.7 m (5′07″),120.0 kg (264.6 lbs),"1. Gorilla Tactics, Zen Mode (hidden ability)","60 (7.8% with PokéBall, full HP)",168,Medium Slow,"50% male, 50% female",105,160,55,30,55,135
Dartrix,"Grass, Flying",Blade Quill Pokémon,0.7 m (2′04″),16.0 kg (35.3 lbs),"1. Overgrow, Long Reach (hidden ability)","45 (5.9% with PokéBall, full HP)",147,Medium Slow,"87.5% male, 12.5% female",78,75,75,70,70,52
Darumaka,Fire,Zen Charm Pokémon,0.6 m (2′00″),37.5 kg (82.7 lbs),"1. Hustle, Inner Focus (hidden ability)","120 (15.7% with PokéBall, full HP)",63,Medium Slow,"50% male, 50% female",70,90,45,15,45,50
Galarian Darumaka,Ice,Zen Charm Pokémon,0.7 m (2′04″),40.0 kg (88.2 lbs),"1. Hustle, Inner Focus (hidden ability)","120 (15.7% with PokéBall, full HP)",63,Medium Slow,"50% male, 50% female",70,90,45,15,45,50
Decidueye,"Grass, Ghost",Arrow Quill Pokémon,1.6 m (5′03″),36.6 kg (80.7 lbs),"1. Overgrow, Long Reach (hidden ability)","45 (5.9% with PokéBall, full HP)",265,Medium Slow,"87.5% male, 12.5% female",78,107,75,100,100,70
Hisuian Decidueye,"Grass, Fighting",Arrow Quill Pokémon,1.6 m (5′03″),37.0 kg (81.6 lbs),"1. Overgrow, Scrappy (hidden ability)","45 (5.9% with PokéBall, full HP)",265,Medium Slow,"87.5% male, 12.5% female",88,112,80,95,95,60
